Onset	Fricative	Offset	Filename
Onset-sh_sh_05_crucial	Fricative-sh_sh_05_crucial	Offset-sh_sh_05_crucial	shshsh_sh_05_crucial
Onset-sh_sh_06_efficient	Fricative-sh_sh_06_efficient	Offset-sh_sh_06_efficient	shshsh_sh_06_efficient
Onset-sh_sh_07_flourishing	Fricative-sh_sh_07_flourishing	Offset-sh_sh_07_flourishing	shshsh_sh_07_flourishing
Onset-sh_sh_08_glacier	Fricative-sh_sh_08_glacier	Offset-sh_sh_08_glacier	shshsh_sh_08_glacier
Onset-sh_sh_09_graduation	Fricative-sh_sh_09_graduation	Offset-sh_sh_09_graduation	shshsh_sh_09_graduation
Onset-sh_sh_10_impatient	Fricative-sh_sh_10_impatient	Offset-sh_sh_10_impatient	shshsh_sh_10_impatient
Onset-sh_sh_11_initial	Fricative-sh_sh_11_initial	Offset-sh_sh_11_initial	shshsh_sh_11_initial
Onset-sh_sh_12_machinery	Fricative-sh_sh_12_machinery	Offset-sh_sh_12_machinery	shshsh_sh_12_machinery
Onset-sh_sh_13_negotiate	Fricative-sh_sh_13_negotiate	Offset-sh_sh_13_negotiate	shshsh_sh_13_negotiate
Onset-sh_sh_14_official	Fricative-sh_sh_14_official	Offset-sh_sh_14_official	shshsh_sh_14_official
Onset-sh_sh_15_parachute	Fricative-sh_sh_15_parachute	Offset-sh_sh_15_parachute	shshsh_sh_15_parachute
Onset-sh_sh_16_pediatrician	Fricative-sh_sh_16_pediatrician	Offset-sh_sh_16_pediatrician	shshsh_sh_16_pediatrician
Onset-sh_sh_17_publisher	Fricative-sh_sh_17_publisher	Offset-sh_sh_17_publisher	shshsh_sh_17_publisher
Onset-sh_sh_18_reassure	Fricative-sh_sh_18_reassure	Offset-sh_sh_18_reassure	shshsh_sh_18_reassure
Onset-sh_sh_19_refreshing	Fricative-sh_sh_19_refreshing	Offset-sh_sh_19_refreshing	shshsh_sh_19_refreshing
Onset-sh_sh_20_vacation	Fricative-sh_sh_20_vacation	Offset-sh_sh_20_vacation	shshsh_sh_20_vacation
Onset-sh_Test_01_s	Fricative-sh_Test_01_s	Offset-sh_Test_01_s	shshsh_Test_01_s
Onset-sh_Test_01_s	Fricative-sh_Test_02_mix1	Offset-sh_Test_01_s	shshsh_Test_02_mix1
Onset-sh_Test_01_s	Fricative-sh_Test_03_mix2	Offset-sh_Test_01_s	shshsh_Test_03_mix2
Onset-sh_Test_01_s	Fricative-sh_Test_04_mix3	Offset-sh_Test_01_s	shshsh_Test_04_mix3
Onset-sh_Test_01_s	Fricative-sh_Test_05_mix4	Offset-sh_Test_01_s	shshsh_Test_05_mix4
Onset-sh_Test_01_s	Fricative-sh_Test_06_mix5	Offset-sh_Test_01_s	shshsh_Test_06_mix5
Onset-sh_Test_01_s	Fricative-sh_Test_07_mix6	Offset-sh_Test_01_s	shshsh_Test_07_mix6
Onset-sh_Test_01_s	Fricative-sh_Test_08_mix7	Offset-sh_Test_01_s	shshsh_Test_08_mix7
Onset-sh_Test_01_s	Fricative-sh_Test_09_sh	Offset-sh_Test_01_s	shshsh_Test_09_sh
