Onset	Fricative	Offset	Filename
Onset-sh_sh_09_graduation	Fricative-f1_sh_09_graduation	Offset-sh_sh_09_graduation	shf1sh_sh_09_graduation
Onset-sh_sh_10_impatient	Fricative-f1_sh_10_impatient	Offset-sh_sh_10_impatient	shf1sh_sh_10_impatient
Onset-sh_sh_11_initial	Fricative-f1_sh_11_initial	Offset-sh_sh_11_initial	shf1sh_sh_11_initial
Onset-sh_sh_12_machinery	Fricative-f1_sh_12_machinery	Offset-sh_sh_12_machinery	shf1sh_sh_12_machinery
Onset-sh_sh_13_negotiate	Fricative-f1_sh_13_negotiate	Offset-sh_sh_13_negotiate	shf1sh_sh_13_negotiate
Onset-sh_sh_14_official	Fricative-f1_sh_14_official	Offset-sh_sh_14_official	shf1sh_sh_14_official
Onset-sh_sh_15_parachute	Fricative-f1_sh_15_parachute	Offset-sh_sh_15_parachute	shf1sh_sh_15_parachute
Onset-sh_sh_16_pediatrician	Fricative-f1_sh_16_pediatrician	Offset-sh_sh_16_pediatrician	shf1sh_sh_16_pediatrician
Onset-sh_sh_17_publisher	Fricative-f1_sh_17_publisher	Offset-sh_sh_17_publisher	shf1sh_sh_17_publisher
Onset-sh_sh_18_reassure	Fricative-f1_sh_18_reassure	Offset-sh_sh_18_reassure	shf1sh_sh_18_reassure
Onset-sh_sh_19_refreshing	Fricative-f1_sh_19_refreshing	Offset-sh_sh_19_refreshing	shf1sh_sh_19_refreshing
Onset-sh_sh_20_vacation	Fricative-f1_sh_20_vacation	Offset-sh_sh_20_vacation	shf1sh_sh_20_vacation
Onset-sh_Test_01_s	Fricative-f1_Test_01_s	Offset-sh_Test_01_s	shf1sh_Test_01_s
Onset-sh_Test_01_s	Fricative-f1_Test_02_mix1	Offset-sh_Test_01_s	shf1sh_Test_02_mix1
Onset-sh_Test_01_s	Fricative-f1_Test_03_mix2	Offset-sh_Test_01_s	shf1sh_Test_03_mix2
Onset-sh_Test_01_s	Fricative-f1_Test_04_mix3	Offset-sh_Test_01_s	shf1sh_Test_04_mix3
Onset-sh_Test_01_s	Fricative-f1_Test_05_mix4	Offset-sh_Test_01_s	shf1sh_Test_05_mix4
Onset-sh_Test_01_s	Fricative-f1_Test_06_mix5	Offset-sh_Test_01_s	shf1sh_Test_06_mix5
Onset-sh_Test_01_s	Fricative-f1_Test_07_mix6	Offset-sh_Test_01_s	shf1sh_Test_07_mix6
Onset-sh_Test_01_s	Fricative-f1_Test_08_mix7	Offset-sh_Test_01_s	shf1sh_Test_08_mix7
Onset-sh_Test_01_s	Fricative-f1_Test_09_sh	Offset-sh_Test_01_s	shf1sh_Test_09_sh
